Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
NTK,,Palacode,Boopathy,,
NTK,,Pennagaram,Palaniyammal,,
NTK,,Dharmapuri,Santha Lakshmi,,
NTK,,Pappireddippatti,Archana Tamil Aruvi,,
NTK,,Harur,Anitha Annadurai,,
NTK,,Chengam,J Shobha,,
NTK,,Tiruvannamalai,Vignesh,,
NTK,,Kilpennathur,V. Loganathan,,
NTK,,Kalasapakkam,Seetha,,
NTK,,Polur,Umadevi Prakash,,
NTK,,Arani,Thavamani Ramesh,,
NTK,,Cheyyar,Tamil Selvan,,
NTK,,Vandavasi,Ganesh,,
NTK,,Gingee,Krishnan,,
NTK,,Mailam,Vijay Vikram,,
NTK,,Tindivanam,Petchimuthu,,
NTK,,Vanur,Karikazhan,,
NTK,,Villupuram,Abhinaya Ponnivalavan,,
NTK,,Vikravandi,Suba Chandrasekaran,,
NTK,,Tirukkoyilur,Hemarajan,,
NTK,,Ulundurpettai,Logeshwari,,
NTK,,Rishivandiyam,Radhika,,
NTK,,Sankarapuram,Ramesh,,
NTK,,Kallakurichi,Nagammal,,
NTK,,Gangavalli,Abirami Neduncheralathan,,
NTK,,Attur,Monisha Chinnadurai,,
NTK,,Yercaud,Palanisamy,,
NTK,,Omalur,Siva Sakthi,,
NTK,,Mettur,Vidhya Veerapan,,
NTK,,Edappadi,Priyadharshini,,
NTK,,Sankari,Nithya Arul,,
NTK,,Salem (West),Suresh Kumar,,
NTK,,Salem (North),Gunaseela,,
NTK,,Salem (South),Sophiya,,
NTK,,Veerapandi,Rajesh Kumar,,
NTK,,Rasipuram,Sasikala,,
NTK,,Senthamangalam,Ponnumani,,
NTK,,Namakkal,Praveen,,
NTK,,Paramathi-Velur,Aravindh,,
NTK,,Tiruchengodu,Revathi,,
NTK,,Kumarapalayam,Yuvarani,,
NTK,,Erode (East),Thandava Moorthy,,
NTK,,Erode (West),Vijay,,
NTK,,Modakkurichi,Arun,,
NTK,,Dharapuram,Divya,SC,
NTK,,Kangayam,Karmegan,,
NTK,,Perundurai,Logu,,
NTK,,Bhavani,Menaka Devi,,
NTK,,Anthiyur,Anandhi,,
NTK,,Gobichettipalayam,Seetha Lakshmi,,
NTK,,Bhavanisagar,Soundarya,,
NTK,,Udhagamandalam,Ragupathu Deepan,,
NTK,,Gudalur,Karthik Ramakrishnan,,
NTK,,Coonoor,Dheenu,,
NTK,,Mettuppalayam,Gopalakrishnan,,
NTK,,Avanashi,Menaga,SC,
NTK,,Tiruppur (North),Abhinaya,,
NTK,,Tiruppur (South),Perarivalan,,
NTK,,Palladam,Thamizhinian,,
NTK,,Sulur,Rajasekhar,,
NTK,,Kavundampalayam,Kalamani,,
NTK,,Coimbatore (North),Narmatha,,
NTK,,Thondamuthur,Rajabunisha,,
NTK,,Coimbatore (South),Perarivalan,,
NTK,,Singanallur,Nehruji,,
NTK,,Kinathukadavu,Banupriya Senthil Kumar,,
NTK,,Pollachi,Senthil,,
NTK,,Valparai,Uma Devi,,
NTK,,Udumalaipettai,Ram Kumar,,
NTK,,Madathukulam,Radhamani,,
NTK,,Palani,Murugeshwari,,
NTK,,Oddanchatram,Ragupathi,,
NTK,,Athoor,Simon Justin,,
NTK,,Nilakkottai,Kailai Rajan,,
NTK,,Natham,Alagammal,,
NTK,,Dindigul,Mutharasi,,
NTK,,Vedasandur,Hussain,,
NTK,,Aravakurichi,Narain,,
NTK,,Karur,Karuppaiah,,
NTK,,Krishnarayapuram,Sathya,,
NTK,,Kulithalai,Nanmaran,,
NTK,,Manapparai,Arunagiri,,
NTK,,Srirangam,Dharmaraj,,
NTK,,Tiruchirappalli (West),Bhuvaneshwari,,
NTK,,Tiruchirappalli (East),Krishnasamy,,
NTK,,Thiruverumbur,Jallikattu Rajesh,,
NTK,,Lalgudi,Madhan,,
NTK,,Manachanallur,Thenmozhi,,
NTK,,Musiri,Bakya Lakshmi,,
NTK,,Thuraiyur,Gowsalya Suresh,,
NTK,,Perambalur,Johnsy Rani,,
NTK,,Kunnam,Keerthi Vasan,,
NTK,,Ariyalur,Pugalendhi,,
NTK,,Jayankondam,Revathi Kalaimani,,
NTK,,Tittagudi,Mahalakshmi,SC,
NTK,,Vridhachalam,Amudha Nambi,,
NTK,,Neyveli,Veeramani,,
NTK,,Panruti,Banu Priya,,
NTK,,Cuddalore,Sarasu,,
NTK,,Kurinjipadi,Sengolan,,
NTK,,Bhuvanagiri,Sumathi Srinivasan,,
NTK,,Chidambaram,Tamil,,
NTK,,Kattumannarkoil,Sivajothi,SC,
NTK,,Sirkazhi,Subash,,
NTK,,Mayiladuthurai,Kasiraman,,
NTK,,Poompuhar,Ilaiya Nagulan,,
NTK,,Nagapattinam,Fathima Farhana,,
NTK,,Kilvelur,Karthiga,,
NTK,,Vedaranyam,Idumbavanam Karthik,,
NTK,,Thiruthuraipoondi,Vinothini,,
NTK,,Mannargudi,Bharathi Selvan,,
NTK,,Thiruvarur,Ashwini,,
NTK,,Nannilam,Theanmozhi Dileep Kumar,,
NTK,,Thiruvidaimarudur,Divya Bharathi,,
NTK,,Kumbakonam,Ananth,,
NTK,,Papanasam,Aneesh Fathima,,
NTK,,Thiruvaiyaru,Senthilnathan,,
NTK,,Thanjavur,Krishna Kumar,,
NTK,,Orathanadu,Thirumurugan,,
NTK,,Pattukkottai,Kannan,,
NTK,,Peravurani,Rajaram,,
NTK,,Gandharvakottai,Nadiya Tamilselvan,,
NTK,,Viralimalai,Sathya Laxshmi,,
NTK,,Pudukkottai,Ezhilarasi,,
NTK,,Thirumayam,Lakshmi Srinivasan,,
NTK,,Alangudi,Rajaraman,,
NTK,,Aranthangi,Muthu Lakshmi,,
NTK,,Karaikudi,Seeman,,
NTK,,Tiruppattur,Ramya Mohan,,
NTK,,Sivaganga,Indhuja Ramesh,,
NTK,,Manamadurai,Shanmugapriya,,
NTK,,Melur,Kottai Kumar,,
NTK,,Madurai East,Selvam,,
NTK,,Sholavandan,Nagalakshmi Thirumaran,,
NTK,,Madurai North,Thirunavukkarasu,,
NTK,,Madurai South,Sathya Devi,,
NTK,,Madurai Central,Durga Kumaraswamy,,
NTK,,Madurai West,Vignesh Kumar,,
NTK,,Thiruparankundram,Sathya Devi,,
NTK,,Thirumangalam,Munis,,
NTK,,Usilampatti,Abirami Dhanapal,,
NTK,,Andipatti,Arunadevi,,
NTK,,Periyakulam,Vimala,,
NTK,,Bodinayakanur,Kalaiyarasu,,
NTK,,Cumbum,Anbu Selvi,,
NTK,,Rajapalayam,Karthik,,
NTK,,Srivilliputhur,Karikala Pandiyan,,
NTK,,Sattur,Anandha Raja,,
NTK,,Sivakasi,Dayana,,
NTK,,Virudhunagar,Laxmanan,,
NTK,,Aruppukkottai,Manimaran,,
NTK,,Tiruchuli,Karthick Raja,,
NTK,,Paramakudi,Ezhil Izhavarasi,,
NTK,,Tiruvadanai,Premnath,,
NTK,,Ramanathapuram,Muthu Kesavan,,
NTK,,Mudhukulathur,Chandra Prabha,,
NTK,,Vilathikulam,Balaji,,
NTK,,Thoothukkudi,Jacob Abhishek Devadasan,,
NTK,,Tiruchendur,Obiliya,,
NTK,,Srivaikuntam,Shanmugasundaram,,
NTK,,Ottapidaram,Anusiya,,
NTK,,Kovilpatti,Pandi,,
NTK,,Sankarankovil,Kavitha,,
NTK,,Vasudevanallur,Isai Mathivanan,,
NTK,,Kadayanallur,Abubakar Siddique,,
NTK,,Tenkasi,Pushpalatha Mahalingam,,
NTK,,Alangulam,Palraj,,
NTK,,Tirunelveli,Sathya,,
NTK,,Ambasamudram,Sivasankaran,,
NTK,,Palayamkottai,Sankara Narayanan,,
NTK,,Nanguneri,Selvam,,
NTK,,Radhapuram,Girija Thamaraipandiyan,,
NTK,,Kanniyakumari,Maria Jenifer,,
NTK,,Nagercoil,Muthukumar,,
NTK,,Colachel,Ancy Sobha Rani,,
NTK,,Padmanabhapuram,Seelan,,
NTK,,Vilavancode,Maria Stella,,
NTK,,Killiyoor,Himler,,
