Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
DMK,,Valparai,A. Sudhakar B.Com.,SC,
DMK,,Kinathukadavu,K.V.K.S. Sabari Karthikeyan B.A.,,
DMK,,Coimbatore (South),V. Senthil Balaji B.Com.,,
DMK,,Thondamuthur,N.R. Karthikeyan B.A.,,
DMK,,Coimbatore (North),Senthamizhselvan B.Tech.,,
DMK,,Sulur,Thalapathi Murugesan M.A.,,
DMK,,Palladam,K. Selvaraj,,
DMK,,Tiruppur (South),K. Dineshkumar M.I.B.,,
DMK,,Avinashi,Dr. Kokila Mani M.B.B.S.,SC,
DMK,,Mettupalayam,Kavitha Kalyanachundaram M.Com.,,
DMK,,Coonoor,K.M. Raju B.Com.,,
DMK,,Gudalur,"Mu. Dravidamani M.A., B.L.",SC,
DMK,,Gobichettipalayam,N. Nallasivam D.M.E.,,
DMK,,Anthiyur,M. Sivabalan B.Com.,,
DMK,,Bhavani,K.A. Sekar (a) K.A. Chandrasekar M.A.,,
DMK,,Perundurai,Thoppu N.D. Venkatachalam B.A.,,
DMK,,Kangayam,Mu.Pe. Saminathan B.A.,,
DMK,,Dharapuram,"Dr. Indirani M.B.B.S., D.C.H.",SC,
DMK,,Erode (West),S. Muthusamy M.A.,,
DMK,,Komarapalayam,S. Balu,,
DMK,,Paramathi Velur,K.S. Moorthy B.Sc.,,
DMK,,Namakkal,"P. Rani M.A., L.L.B.",,
DMK,,Sendamangalam,P. Poomalar,ST,
DMK,,Rasipuram,"Dr. M. Mathiventhan M.B.B.S., M.D.",SC,
DMK,,Veerapandi,"Dr. A.K. Tarun M.B.B.S., M.S., M.B.A.",,
DMK,,Salem (South),M. Loganathan B.Sc.,,
DMK,,Salem (North),"R. Rajendran B.A., B.L.",,
DMK,,Sankari,M. Manikandan,,
DMK,,Edappadi,Kasi,,
DMK,,Mettur,Mithun Chakravarthy B.E.,,
DMK,,Yercaud,T.M. Revathi Madheswaran,ST,
DMK,,Gangavalli,Gu. Chinnadurai B.E.,SC,
DMK,,Sankarapuram,Tha. Udhayasuriyan B.Sc.,,
DMK,,Rishivandiyam,Vasantham Karthikeyan B.Sc.,,
DMK,,Ulundurpet,G.R. Vasanthavel B.E.,,
DMK,,Tirukkoyilur,"Dr. Pon. Gautham Sigamani M.B.B.S., M.S.",,
DMK,,Vikravandi,Anniyur Siva (a) A. Sivasubramanian B.A.,,
DMK,,Villupuram,"Dr. R. Lakshmanan M.B.B.S., D.Ortho",,
DMK,,Vanur,Gautham Dravidamani B.E.,SC,
DMK,,Gingee,K.S. Masthan,,
DMK,,Vandavasi,S. Ambedkumar,SC,
DMK,,Cheyyar,O. Jothi B.A.,,
DMK,,Arani,Mahalakshmi Govarthanan Diploma,,
DMK,,Kalasapakkam,P.S.T. Saravanan M.A.,,
DMK,,Kilpennathur,K. Pichandi M.A.,,
DMK,,Tiruvannamalai,E.V. Velu M.A.,,
DMK,,Chengam,M.P. Giri,,
DMK,,Harur,A. Shanmugam B.Sc.,,
DMK,,Pappireddippatti,"Dr. P. Palaniappan M.S.C., Ph.D.",,
DMK,,Palacode,"Dr. D.N.V. Senthilkumar M.B.B.S., M.D., R.D.",,
DMK,,Hosur,S.A. Sathya,,
DMK,,Veppanahalli,P.S. Srinivasan,,
DMK,,Bargur,"De. Mathiazhagan B.Sc., D.F.Tech.",,
DMK,,Tirupattur,A. Nallathambi,,
DMK,,Jolarpet,Kavitha Dhandapani B.A.,,
DMK,,Ambur,A.C. Vilvanathan,,
DMK,,Kilvaithinankuppam,Dr. Rajeswari Mohankandhi M.B.B.S.,SC,
DMK,,Anaicut,A.P. Nandakumar M.A.,,
DMK,,Vellore,P. Karthikeyan,,
DMK,,Arcot,J.L. Eswarappan B.E.,,
DMK,,Ranipet,R. Gandhi,,
DMK,,Katpadi,"Duraimurugan M.A., B.L.",,
DMK,,Kanchipuram,Nithya Sugumar,,
DMK,,Uthiramerur,K. Sundar B.Sc.,,
DMK,,Madurantakam,S. Amulu Ponmalar,SC,
DMK,,Chengalpattu,"M.K.D. Karthik Dhandapani B.A., B.L.",,
DMK,,Tambaram,Dr. S.R. Raja B.Sc.,,
DMK,,Alandur,T.M. Anbarasan,,
DMK,,Sholinganallur,S. Aravind Ramesh,,
DMK,,Mylapore,"T. Velu B.A., L.L.B.",,
DMK,,T. Nagar,Raja Anbazhagan B.Com.,,
DMK,,Saidapet,"Ma. Subramanian B.A., L.L.B.",,
DMK,,Virugampakkam,"Prabhakar Raja M.Tech., M.B.A.",,
DMK,,Anna Nagar,M.K. Mohan,,
DMK,,Thousand Lights,"Dr. Ezhilan Naganathan M.B.B.S., M.D.",,
DMK,,Chepauk-Thiruvallikeni,Udhayanidhi Stalin B.Com.,,
DMK,,Harbour,P.K. Sekar Babu,,
DMK,,Royapuram,Dr. Idream R. Murthy M.B.B.S.,,
DMK,,Egmore,I. Paranthamen B.L.,SC,
DMK,,Thiru-Vi-Ka-Nagar,"K.S. Ravichandran B.Sc., B.L.",SC,
DMK,,Villivakkam,"Karthikeyan B.E., M.S.",,
DMK,,Perambur,"R.D. Sekar B.Com., B.L.",,
DMK,,Dr. Radhakrishnan Nagar,"J.J. Ebenezer M.Com., B.L.",,
DMK,,Madhavaram,"S. Sudharsanam M.A., B.L.",,
DMK,,Ambattur,"Dr. A.P. Poornima M.B.B.S., M.D.",,
DMK,,Maduravoyal,Karambakkam Ganapathy,,
DMK,,Avadi,S.M. Nasar,,
DMK,,Poonamallee,"A. Krishnaswamy B.A., B.L.",,
DMK,,Tiruvallur,V.G. Rajendran B.E.,,
DMK,,Gummidipoondi,T.J. Govindarajan,,
DMK,,Kolathur,Muthuvel Karunanidhi Stalin B.A.,,
